,L,FL,F,FR,R,Turn,Vroom
511,18,16,20,19,9,1,0
512,17,16,100,16,8,1,0
513,17,16,100,14,8,1,0
514,16,16,100,14,8,1,0
515,16,16,100,13,8,0,0
516,16,16,100,13,9,0,1
517,16,16,100,14,9,0,1
518,15,15,100,14,9,0,1
519,15,15,100,15,10,0,1
520,15,15,100,16,10,0,1
521,15,15,100,16,11,0,1
522,14,14,100,17,11,0,1
523,14,14,100,18,11,0,1
524,14,14,100,18,12,0,1
525,13,13,100,19,12,0,1
526,13,13,20,20,13,0,1
527,12,12,19,20,13,0,1
528,12,12,18,100,14,0,1
529,11,11,18,100,14,0,1
530,11,11,17,100,14,0,1
531,11,11,17,100,14,1,1
532,10,10,18,100,15,1,1
533,10,10,100,20,15,1,1
534,9,10,100,19,15,1,1
535,9,11,100,18,15,1,1
536,9,11,100,17,15,1,1
537,9,12,100,17,15,1,1
538,9,12,100,16,15,1,1
539,10,13,100,16,15,0,1
540,10,14,100,15,14,0,1
541,10,100,20,15,14,0,1
542,11,100,20,15,14,0,1
543,11,100,19,15,14,0,1
544,11,100,18,15,14,0,1
545,11,100,18,14,14,0,1
546,11,100,17,14,13,0,1
547,12,100,17,14,13,0,1
548,12,100,16,14,13,-1,1
549,16,100,17,14,13,-1,1
550,16,100,17,15,13,-1,1
551,16,100,16,15,13,-1,1
552,16,100,15,13,13,-1,1
553,16,100,18,12,13,-1,1
554,16,100,18,11,13,-1,1
555,16,100,17,12,13,-1,1
556,16,100,17,13,13,-1,1
557,16,100,20,12,10,-1,1
558,15,100,19,11,10,-1,1
559,15,20,100,11,11,-1,1
560,15,20,100,11,12,-1,1
561,15,19,100,13,11,-1,1
562,15,19,100,13,9,-1,1
563,15,19,100,12,10,-1,1
564,15,18,100,12,11,-1,1
565,14,18,100,15,12,-1,1
566,14,17,100,15,11,0,1
567,15,17,100,15,11,0,1
568,15,16,100,18,10,0,1
569,16,16,100,17,11,0,1
570,16,15,100,17,13,0,1
571,15,15,100,17,14,0,1
572,14,14,100,16,13,0,1
573,13,13,100,16,13,0,1
574,13,14,100,16,13,0,1
575,14,15,100,16,12,0,1
576,14,16,100,15,13,0,1
577,14,17,100,15,15,0,1
578,12,19,20,14,15,0,1
579,11,20,20,14,14,0,1
580,12,100,19,13,14,0,1
581,12,100,19,13,14,-1,1
